Period SHA SHB XAB XBA DIAp DIBp
167 0.02144935088770018 0.023407347818394843 5 5 0.5178314293856519 0.4821685706143481
168 0.021299765116482027 0.023159862200641958 5 5 0.519737647747396 0.480262352252604
169 0.020866626794954053 0.022633719024905987 5 5 0.5099181499742748 0.4900818500257254
170 0.02004466060247504 0.021723398220929377 5 5 0.5003895354227567 0.4996104645772433
171 0.019232308229546073 0.020827108967077693 5 5 0.5035403078362459 0.49645969216375396
172 0.018657832232993863 0.020172892933648903 5 5 0.5098326908500248 0.4901673091499753
173 0.01814989059648446 0.019589198262106748 5 5 0.5090058778246973 0.4909941221753028
174 0.017485089503148542 0.018852431785489714 5 5 0.5031048468088488 0.4968951531911512
175 0.016797280650524382 0.018096255818748495 5 5 0.4967770670153901 0.50322293298461
176 0.016303906389813338 0.017537932799626246 5 5 0.4913647661703274 0.5086352338296727
177 0.01591055054403445 0.01708287563335671 5 5 0.49068188336324936 0.5093181166367505
178 0.015486362100778257 0.016600070935634408 5 5 0.49296569522361683 0.5070343047763832
179 0.015234138102179206 0.01629216149529255 5 5 0.4878923573109747 0.5121076426890253
180 0.014745262909699332 0.01575038513315701 5 5 0.4969533134089717 0.5030466865910282
181 0.01413033899681642 0.015085205109101213 5 5 0.5009789323464987 0.49902106765350124
182 0.013743802529862289 0.014650925336532842 5 5 0.5084729859432731 0.491527014056727
183 0.01378093706879079 0.014642703735127816 5 5 0.5187494274566367 0.48125057254336334
184 0.013732120010669587 0.014550798343689761 5 5 0.5121576562342183 0.4878423437657818
185 0.01336560164723404 0.014143346063603205 5 5 0.5032973274134207 0.49670267258657935
186 0.013270720920417488 0.014009578115968195 5 5 0.5141748616758434 0.4858251383241566
187 0.013347710619912596 0.014049624955685767 5 5 0.5167061805510934 0.48329381944890654
188 0.013424459529410406 0.014091278148394918 5 5 0.5151442710446414 0.48485572895535867
189 0.013615184369176418 0.014248662057211705 5 5 0.518678286390112 0.48132171360988796
190 0.013597500738486817 0.01419930454212034 5 5 0.511473721467005 0.488526278532995
191 0.013167204748715394 0.01373891836216724 5 5 0.4990677544488159 0.5009322455511841
192 0.013113650992162834 0.013656778924942088 5 5 0.4841683213538561 0.5158316786461439
193 0.012982678782541024 0.013498650318681315 5 5 0.49014775147591305 0.5098522485240871
194 0.01318399546542624 0.013674168424759516 5 5 0.4794758724297946 0.5205241275702054
195 0.013505178388691067 0.01397084270005768 5 5 0.4787959396584215 0.5212040603415785
196 0.013669873362649958 0.01411225445844824 5 5 0.4843506786807116 0.5156493213192884
197 0.014041380116292718 0.014461642157301086 5 5 0.4764298291831691 0.523570170816831
198 0.01438325709402871 0.01478250603298666 5 5 0.4789152774434911 0.5210847225565088
199 0.014847700736209606 0.015226987228219658 5 5 0.4745725962936174 0.5254274037063825
200 0.015306232154491659 0.015666554321901206 5 5 0.47544465723874657 0.5245553427612535
201 0.01577343221773859 0.01611573827677766 5 5 0.47466032603663705 0.525339673963363
202 0.016143286574271287 0.016468477330358403 5 5 0.4772182692121507 0.5227817307878493
203 0.01660838474820225 0.016917315966485012 5 5 0.47303185050314994 0.5269681494968501
204 0.017209661076067945 0.01750314573343657 5 5 0.4693379109271784 0.5306620890728215
205 0.01771706104030558 0.017995871464805774 5 5 0.4728659551060601 0.52713404489394
206 0.017931932842232965 0.01819680274550815 5 5 0.4803235315760872 0.5196764684239127
207 0.018034356279251477 0.018285982687362902 5 6 0.48073391280820965 0.5192660871917903
208 0.03496840368348454 0.018707448771190377 6 6 0.4695124669065859 0.5304875330934142
209 0.040032024238363474 0.03563911707168403 6 6 0.4719321752409515 0.5280678247590485
210 0.04122784506243206 0.04070273325408659 6 6 0.4712288305424481 0.528771169457552
211 0.0412792544382135 0.041984287720285306 6 6 0.46794992857492684 0.5320500714250732
212 0.04072448812243474 0.04179155327540296 6 6 0.4753947918607905 0.5246052081392095
213 0.04025640961314212 0.04140122507501192 6 6 0.46757239143013396 0.5324276085698662
214 0.03948861857603786 0.040619457441775676 7 6 0.47795329401214415 0.5220467059878559
215 0.038598199089067114 0.05618677318991534 7 6 0.4796014628648877 0.5203985371351123
216 0.03774914767633755 0.059908004541014484 7 6 0.4780868252751661 0.5219131747248339
217 0.03679135901924996 0.059640677825420506 7 6 0.48263680581938095 0.5173631941806192
218 0.03617559502958691 0.058475921474408984 7 6 0.47221171874306717 0.5277882812569327
219 0.035895692462242376 0.05727684886588017 7 6 0.46590842797254545 0.5340915720274546
220 0.03594890295237894 0.05632563080858359 8 6 0.45928891992472165 0.5407110800752785
221 0.035858390366423305 0.07173760948982483 8 7 0.4667547219911743 0.5332452780088257
222 0.05231231263213586 0.07534960892716965 9 7 0.4641347261004602 0.5358652738995399
223 0.05671304110823594 0.09145264517069282 9 8 0.4698519297280077 0.5301480702719923
224 0.07396790862898804 0.09471240944043974 9 8 0.461359817556951 0.5386401824430491
225 0.07772500298339241 0.09338709814847036 9 8 0.47498126285697895 0.525018737143021
226 0.07720227368401786 0.09074635449092752 9 8 0.4726300236223236 0.5273699763776765
227 0.07523914198874104 0.08766549858733348 9 8 0.4761509058032814 0.5238490941967185
228 0.0729988150124002 0.08465848212563234 9 8 0.4728598161590527 0.5271401838409474
229 0.07073270809946122 0.08176141921073964 9 9 0.47328194251335515 0.5267180574866449
230 0.08549835939707867 0.07945980397951675 9 9 0.4592235898134619 0.5407764101865381
231 0.08892283031149041 0.07773597844362537 9 9 0.4497080523511878 0.5502919476488121
232 0.08872435227031363 0.07629826900285203 9 9 0.4482768138609072 0.5517231861390928
233 0.08755398997954728 0.07515568145777213 9 9 0.4435113219333912 0.5564886780666087
234 0.08591564411419222 0.07394138631066925 9 9 0.4496478370571201 0.55035216294288
235 0.08430128512621936 0.07286110485928646 9 9 0.44613828731389754 0.5538617126861025
236 0.08279773759402109 0.07190823667375144 9 9 0.4446470587194066 0.5553529412805935
237 0.08088026755806368 0.070528202893802 9 9 0.4597692022791983 0.5402307977208016
238 0.07911830710536588 0.06928152287361547 9 9 0.4530710494918187 0.5469289505081812
239 0.07755475039814887 0.06820903885375437 9 9 0.4503248126444396 0.5496751873555603
240 0.07625956832539768 0.06738088940522648 9 9 0.4456643305060808 0.5543356694939192
241 0.074541331841035 0.06610650339238353 9 9 0.4623485262319503 0.5376514737680497
242 0.07258270920026742 0.06456959462746723 9 9 0.4673582086740966 0.5326417913259033
243 0.07050504397747676 0.06289257604294474 9 9 0.47067018990003257 0.5293298100999675
244 0.06838896464150346 0.061157117103875336 9 9 0.47281249440554407 0.527187505594456
245 0.06642210168259026 0.05955184553190205 9 9 0.4700739930786426 0.5299260069213573
246 0.06449247348398904 0.05796572981415454 9 9 0.47235988650348976 0.5276401134965103
247 0.06254799888943663 0.05634759229528923 9 9 0.475122372502342 0.5248776274976581
248 0.060571784394094136 0.054681398094078584 9 9 0.47791708324709653 0.5220829167529035
249 0.058835754591348315 0.05323988759459362 9 9 0.4723433873107211 0.5276566126892789
250 0.05757747289782538 0.05226139924703424 9 9 0.46191025974399846 0.5380897402560016
251 0.056856167026564104 0.05180589705703404 9 9 0.4514542187352937 0.5485457812647063
252 0.05629169222864316 0.051493935757167694 9 9 0.4525352670269891 0.5474647329730109
253 0.05606884092475395 0.05151097227671304 9 9 0.4442459625782255 0.5557540374217745
