SHA SHB XAB XBA
0.4824357098538434 0.5045457764615606 0 1
0.5028637284057113 0.4842340916049579 1 1
0.5220576143233282 0.4750687168691922 0 0
0.4956850593134784 0.45093868386253605 1 1
0.49882829664133577 0.4986817059772511 0 0
0.4554544620842549 0.4910858966873821 1 0
0.43149210805597593 0.49383537987300546 1 1
0.43231684593250835 0.5152937161744511 1 1
0.4639052030064504 0.5159550742513876 0 0
0.441662966595547 0.5099218671070171 1 1
0.4606032009725223 0.5354909365624909 1 0
0.47008826822530175 0.5358810898699671 0 0
0.43489298486751815 0.520188016712619 1 1
0.460321910486062 0.547419750339613 0 1
0.5019410447509282 0.5576515613531545 0 0
0.4611738375704636 0.5416900355382558 1 1
0.48444711694893855 0.536497366110738 0 0
0.48359088678961754 0.5229963752781619 0 1
0.49957273796067947 0.47181400279578173 1 1
0.5218981104354661 0.49471595449958883 0 1
0.5241475560972912 0.45975629081721836 0 1
0.5406486937329157 0.4176522510292726 1 1
0.5437974436736004 0.3848671497862945 1 1
0.5339834017048168 0.3770713724218844 1 1
0.5128143579388665 0.41533834498219824 0 1
0.5104878975456928 0.43403760065759334 1 1
0.5237251533491365 0.45726951564903673 0 0
0.5100217582591656 0.4425492267066905 1 1
0.5242052969670121 0.4924526103822533 0 0
0.5103037856488465 0.4504800640274036 1 1
0.5398646331545799 0.4332508514617158 0 1
0.5494830528138569 0.42445138394628257 1 1
0.584480604499698 0.42266236351229747 0 1
0.6214006654914914 0.41110263649982903 1 1
0.6074883261050474 0.4545244536310262 1 0
0.5897702497307798 0.4898084698971471 0 0
0.5385442736691634 0.45504270011851894 1 1
0.566387331311906 0.5084147526761508 0 0
0.5653599508469304 0.47831375538646725 0 1
0.5686865074679273 0.4596412280222934 0 1
0.5861315815235189 0.43363972343839996 0 0
0.5773430813762246 0.41224250030099396 0 1
0.5822689000211935 0.3927529863994473 1 1
0.6002351283964353 0.4182611935324613 1 0
0.541071809119961 0.44072230321156475 1 0
0.52106264094885 0.44952563494147196 1 1
0.5403667002495992 0.4487766383535037 0 1
0.565486768441094 0.4077838499470032 1 1
0.5914595842908377 0.4185371964063778 0 0
0.5621783090471028 0.3836676765941545 0 1
0.5848422486028447 0.35644122529292055 0 1
0.5868228401789433 0.3421325872174037 0 0
0.5558422398219214 0.3295895109345972 0 0
0.5148185831743709 0.3277915404567993 1 0
0.4886905300717025 0.37452656777472215 1 1
0.5045664294276613 0.3927682295283599 0 1
0.5178265833216512 0.36555877754741395 0 1
0.5171190520351077 0.3486845513715192 1 1
0.5524413383461805 0.3655683009815518 0 1
0.5442072698822474 0.3616423843810572 1 0
0.5179375517161261 0.3697093598424808 0 1
0.55621006692766 0.36685095308233584 0 1
0.5842177082789989 0.35032531793668076 0 1
0.597059880601932 0.3224623342904493 1 1
0.6171988628574555 0.3777553141569073 0 0
0.5748643513535499 0.34640848628963306 1 1
0.5617639810105494 0.3658079444718886 1 0
0.5346978305824005 0.37858184932551553 1 0
0.5007741543642669 0.39598226684375226 1 1
0.5329467755287607 0.43012492152630866 0 0
0.5390958622112413 0.42044587578630693 0 1
0.5430884914764258 0.40769641892417485 0 1
0.5818640805588802 0.37526909084669013 0 1
0.6082047660301643 0.35776930741047164 0 1
0.624643284890565 0.333667307785437 0 1
0.6286808735985224 0.325893388116657 0 1
0.6196006468351363 0.31209711119538647 0 1
0.6213387591917915 0.2966776556950047 1 1
0.6187428022971627 0.3234334362933224 1 0
0.573807179886211 0.31466217977142796 0 1
0.5569520727494781 0.28410204960503554 1 1
0.5972226719092925 0.28414631964307596 0 1
0.6031044412948682 0.256713863745554 0 1
0.6037545501003654 0.2554098907698026 0 1
0.6064836860058621 0.2562397685998898 1 1
0.5865787852688388 0.321013955230529 1 0
0.5523177527004364 0.3781105620502886 0 0
0.5010316028250663 0.42687241297117323 1 0
0.4964546738695433 0.45119872598136346 1 0
0.46378936912340846 0.48601189491524255 1 0
0.43796134010533744 0.5243350775664943 0 1
0.4790642487753501 0.5235387371172383 0 1
0.5200301766494646 0.48004103341702303 0 1
0.557479575972075 0.4773088731759562 0 0
0.520382517739753 0.43240577952874737 1 1
0.5297853346706836 0.4271375697584343 0 1
0.5567250070091643 0.42786187438472656 1 1
0.5715540206704578 0.47605169418615684 0 0
0.563032594512795 0.46004058170815315 1 1
0.6040161569269363 0.47586841439325467 0 1
0.6326187007809723 0.4660957235499423 0 1
0.6534940293832674 0.4394632245910126 0 0
0.5881847708631537 0.4117580298951014 1 1
0.604866727823201 0.44030323356993073 0 1
0.6224781775814813 0.41498255063792855 0 1
0.648382169011845 0.4201568973827375 0 1
0.6476772086267658 0.41842341337616284 0 1
0.6691568421862601 0.396398891017775 0 1
0.7008499572092967 0.37532766982443283 0 1
0.6978034481606236 0.37699301577454586 0 0
0.6699949995432997 0.37498773637300803 0 0
0.6086952440547084 0.34203334604693025 1 1
0.6458893605250118 0.39544305968819776 0 0
0.6084777236505945 0.3783449891592424 1 1
0.6143702524976353 0.4144955710950357 0 1
0.6468622311199608 0.3791813717336415 0 1
0.6734977699594924 0.4076605002056285 0 0
0.6473325873736384 0.4257579710528879 1 0
0.6400611445097945 0.4634442066728599 0 0
0.6073238481269654 0.448532191623759 1 1
0.6158606993577087 0.5030598261008175 0 0
0.6232105079293839 0.5174594183999397 0 0
0.6140178353947134 0.4852531489235764 1 1
0.6489699229886274 0.5137039708711937 0 1
0.675701431907829 0.4885107160109273 0 1
0.7005542192174755 0.4928805061682334 0 1
0.7099297654359545 0.46180227630533843 0 1
0.7134161836789401 0.45845963787049915 0 0
0.7058126759138269 0.44108143989035986 1 1
0.7183732077972006 0.4841535134552713 0 0
0.7215892582389783 0.4843314570568254 1 1
0.7358634773172321 0.5326177073951565 0 0
0.7106578722102528 0.493451443866403 1 1
0.7217262160663431 0.5277498689332285 0 0
0.7156441467691346 0.4840511380027248 1 1
0.7294848974925122 0.5341681626738298 0 0
0.6637394154505452 0.5410616755483195 1 0
0.6527025927384678 0.5535029998207576 1 1
0.667423771809414 0.5668726333065868 0 0
0.6078189856212577 0.5729076052454923 1 1
0.6139500573288912 0.5955417840131367 0 1
0.6433058837599146 0.5812188717434775 0 0
0.5798180489884905 0.5547846323414949 1 1
0.6143669574601398 0.544115368287582 0 0
0.5590143315196608 0.5285036591520216 1 0
0.5564183304430642 0.5313972776782768 1 0
0.5498841437793014 0.5671577586761289 1 1
0.5704500128278691 0.5850524020434799 0 0
0.5541965377286199 0.5836275843529829 0 1
0.5812417041051589 0.5627751785623469 1 0
0.6028904165637521 0.5971109803374552 1 1
0.6211638372181386 0.6148301177901143 1 0
0.6178083291138918 0.6406156825975171 0 0
0.6160077061904022 0.652743031018896 1 0
0.6160247738058715 0.6852099202001609 1 0
0.560365184575732 0.6953475855934539 1 0
0.5494668261601418 0.7082694295067236 1 0
0.5374845332468636 0.7268978128835422 0 0
0.5475749377255671 0.6829226231386195 0 0
0.5399504546032158 0.6447371046999169 1 1
0.5525949497349599 0.6649536452339234 0 0
0.5213873141793532 0.6023173249498496 1 1
0.5211016776605447 0.632928571102571 1 0
0.5003865515269267 0.6492675500935458 1 1
